"Date","Open","High","Low","Close","Volume"
"06/21/2022","14.16","14.24","14.02","14.13","6,200,793"
"06/13/2022","13.86","14.14","13.41","14.06","38,461,377"
"06/06/2022","13.88","14.26","13.17","13.42","66,420,474"
"05/31/2022","15.25","15.43","14.15","14.23","41,207,053"
"05/23/2022","15.67","16.03","14.23","15.08","64,943,304"
"05/16/2022","14.20","15.98","14.01","15.79","59,459,281"
"05/09/2022","15.85","16.80","13.53","14.16","76,130,894"
"05/02/2022","15.48","16.44","15.28","15.95","67,169,296"
"04/25/2022","15.40","16.14","14.99","15.69","53,572,117"
"04/18/2022","15.58","15.94","15.05","15.41","46,570,883"
"04/11/2022","15.44","16.74","15.40","15.75","43,324,257"
"04/04/2022","16.02","16.22","15.31","15.38","34,174,450"
"03/28/2022","16.26","16.38","15.47","16.10","51,253,984"
"03/21/2022","17.40","17.66","16.06","16.29","35,913,698"
"03/14/2022","17.12","17.57","16.85","17.54","53,090,628"
"03/07/2022","16.63","17.10","16.16","17.04","72,011,386"
"02/28/2022","16.40","16.69","15.73","16.55","56,340,693"
"02/22/2022","15.75","17.18","15.27","16.42","79,561,300"
"02/14/2022","17.18","17.42","15.46","16.02","49,897,479"
"02/07/2022","17.27","17.72","16.72","17.33","43,167,620"
"01/31/2022","17.00","17.76","16.79","17.20","39,636,040"
"01/24/2022","16.09","17.15","15.88","16.84","49,868,596"
"01/18/2022","15.85","16.32","15.40","16.13","58,235,040"
"01/10/2022","17.51","17.60","16.11","16.14","51,072,832"
"01/03/2022","17.20","17.60","16.74","17.56","57,955,585"
"12/27/2021","15.89","17.35","15.89","17.13","55,369,984"
"12/20/2021","15.75","16.21","15.70","15.77","27,259,593"
"12/13/2021","14.90","15.88","14.60","15.76","34,230,188"
"12/06/2021","15.17","15.23","14.50","15.08","65,680,714"
"11/29/2021","15.36","15.80","15.09","15.21","57,087,007"
"11/22/2021","14.55","15.64","13.86","15.17","93,471,616"
"11/15/2021","14.49","15.04","14.23","14.43","36,336,917"
"11/08/2021","14.62","14.81","14.31","14.39","39,256,167"
"11/01/2021","15.50","15.95","14.57","14.64","44,407,926"
"10/25/2021","14.73","15.52","14.69","15.46","47,609,108"
"10/18/2021","15.41","15.50","14.47","14.65","68,465,265"
"10/11/2021","15.03","15.69","15.00","15.36","47,523,790"
"10/04/2021","14.85","15.29","14.52","15.15","38,124,576"
"09/27/2021","14.65","15.15","14.45","14.83","60,192,631"
"09/20/2021","13.41","14.72","13.41","14.62","61,369,165"
"09/13/2021","13.27","13.60","12.99","13.41","40,509,080"
"09/07/2021","14.35","14.41","13.35","13.55","78,598,858"
"08/30/2021","15.40","15.48","14.29","14.31","40,412,341"
"08/23/2021","15.47","15.89","15.21","15.48","50,921,787"
